YEAR,NEP
1900,-0.32157702002273875
1901,2.3249725520205273
1902,3.2318966428406704
1903,4.005243661596429
1904,4.771028088918792
1905,5.581050103027126
1906,6.41703257552346
1907,7.2388006856406095
1908,8.003733968123091
1909,8.676803838362167
1910,9.234552731963838
1911,9.66535248932144
1912,9.96767469843218
1913,10.14758033161904
1914,10.21617602713
1915,10.18742083517643
1916,10.076422013887377
1917,9.898217603688089
1918,9.666975110647957
1919,9.395518224436692
1920,9.095095447937478
1921,8.775317003000898
1922,8.444204266056408
1923,8.10830567968087
1924,7.7728502925703955
1925,7.441915705010114
1926,7.118595839784343
1927,6.805160186825266
1928,6.503198734281381
1929,6.213750656596151
1930,5.937415057038137
1931,5.674446464719564
1932,5.424833540703538
1933,5.188365029695402
1934,4.964682844181968
1935,4.753325460707497
1936,4.553762029280679
1937,4.365419212062936
1938,4.187702003059218
1939,4.020009841069824
1940,3.861748137976161
1941,3.712337227675845
1942,3.5712180209594395
1943,3.4378567379665133
1944,3.3117468355319435
1945,3.1924106035549333
1946,3.079399712597599
1947,2.9722948662552304
1948,2.8707049499406656
1949,2.7742664925855203
1950,2.6826416880726347
1951,2.595517511844945
1952,2.5126041911739363
1953,2.4336333821905143
1954,2.358357097512898
1955,2.2865458530816456
1956,2.217987623465713
1957,2.152486161081034
1958,2.0898601026146038
1959,2.0299415361568696
1960,1.9725748442304396
1961,1.9176161123140678
1962,1.8649315614197925
1963,1.8143973227786916
1964,1.7658980725265714
1965,1.7193267078902665
1966,1.6745835194988177
1967,1.6315755570096495
1968,1.5902160617274763
1969,1.5504241310421154
1970,1.5121239483169746
1971,1.475244691849935
1972,1.4397198252006742
1973,1.4054871023558304
1974,1.3724878008999555
1975,1.3406669337100237
1976,1.3099726054058225
1977,1.2803558395916932
1978,1.2517705852845824
1979,1.2241731421051416
1980,1.197522333590919
1981,1.1717790496438518
1982,1.1469063238797048
1983,1.1228691220618523
1984,1.0996340381625416
1985,1.0771694478504799
1986,1.0554452006400796
1987,1.0344326628560983
1988,1.0141045235977983
1989,0.9944347038247278
1990,0.9753984228597945
1991,0.9569719045832074
1992,0.9391324730796805
1993,0.9218585218026992
1994,0.9051293392749559
1995,0.8889250111520524
1996,0.8732265567794163
1997,0.8580158351502102
1998,0.8432753335304689
1999,0.82898835003932
2000,0.8151388362180219
2001,0.8017112989048073
2002,0.7886910402771151
2003,0.7760637917758161
2004,0.7638159066611622
2005,0.7519341445645085
2006,0.7404060270936302
2007,0.7292192979105283
2008,0.7183623132791351
2009,0.7078237746536927
2010,0.6975928500563903
2011,0.6876591554403296
2012,0.678012567683368
2013,0.668643459377409
2014,0.6595424758818299
2015,0.6507006412184816
2016,0.6421092624144163
2017,0.6337599431220359
2018,0.6256446691012895
2019,0.6177557559808381
2020,0.610085515332969
2021,0.6026268543039439
2022,0.5953727195507148
2023,0.5883164777255114
2024,0.5814514598413566
2025,0.5747715158631932
2026,0.5682705699877031
2027,0.5619427919131359
2028,0.5557824142824309
2029,0.5497841814656695
2030,0.5439426142609362
2031,0.5382528493069839
2032,0.5327097549876003
2033,0.5273087511251532
2034,0.5220451533893934
2035,0.5169146308632316
2036,0.5119128255160702
2037,0.5070356035894202
2038,0.5022790312897573
2039,0.4976391742212959
2040,0.49311236124544033
2041,0.48869500309858377
2042,0.4843835513837822
2043,0.48017468041881917
2044,0.47606509997684604
2045,0.47205166910188456
2046,0.4681314568188889
2047,0.46430137469953764
2048,0.46055859311709085
2049,0.4569005101652918
2050,0.45332427842106765
