YEAR,NPP
1900,10.276174412767823
1901,10.720100524536958
1902,11.010738712067466
1903,11.512583576592217
1904,12.207691620632206
1905,13.087333028481941
1906,14.101005074532432
1907,15.18514317430578
1908,16.27703634087099
1909,17.32386769824098
1910,18.28719139554982
1911,19.143682784724067
1912,19.883339755483618
1913,20.506395674956934
1914,21.01998852192548
1915,21.435243294694946
1916,21.765046827884042
1917,22.022530312000814
1918,22.22013856905166
1919,22.36913036521641
1920,22.479367055109606
1921,22.559279312827968
1922,22.615937663273748
1923,22.655174572018073
1924,22.681729909475756
1925,22.699400160548254
1926,22.711180955546677
1927,22.7193982038899
1928,22.72582476248347
1929,22.731782507104583
1930,22.738229129406314
1931,22.745832841666676
1932,22.75503353228604
1933,22.7660942520133
1934,22.779142639709228
1935,22.79420512300004
1936,22.811233942370357
1937,22.830128664298662
1938,22.85075312462739
1939,22.872948844538048
1940,22.896544797640654
1941,22.92136533397138
1942,22.947235377353326
1943,22.973985137630294
1944,23.001452341125567
1945,23.02948435716387
1946,23.057939445770405
1947,23.086687218285675
1948,23.115608654496945
1949,23.14459647210271
1950,23.173554060358526
1951,23.20239549478358
1952,23.231044891289272
1953,23.25943542800658
1954,23.287509080841826
1955,23.315215536424272
1956,23.342511868677743
1957,23.369361534666147
1958,23.39573411368918
1959,23.42160446621537
1960,23.44695212105538
1961,23.471761195641303
1962,23.496019299461718
1963,23.519717744717344
1964,23.54285058575378
1965,23.565414666488202
1966,23.587409140469294
1967,23.60883515475297
1968,23.6296955760633
1969,23.649994929682947
1970,23.669738880976656
1971,23.68893437770241
1972,23.707589156561166
1973,23.7257119495474
1974,23.743311901999423
1975,23.76039895685164
1976,23.776983374070227
1977,23.793075703713296
1978,23.80868693345583
1979,23.823828042778153
1980,23.838510296261127
1981,23.85274489928278
1982,23.866543180289298
1983,23.87991648046149
1984,23.892875940057532
1985,23.905432738299112
1986,23.917597867981307
1987,23.92938225488656
1988,23.940796636541727
1989,23.951851537920206
1990,23.962557403087846
1991,23.97292436152472
1992,23.98296237941673
1993,23.99268128501166
1994,24.002090646161015
1995,24.011199718216567
1996,24.02001762638097
1997,24.028553317966274
1998,24.036815391173032
1999,24.044812316359874
2000,24.05255231749221
2001,24.060043307550423
2002,24.06729316430904
2003,24.07430939741592
2004,24.081099370134496
2005,24.087670112274246
2006,24.094028706560632
2007,24.100181775790283
2008,24.106135897120623
2009,24.111897360271186
2010,24.117472311616332
2011,24.122866759939036
2012,24.128086409654404
2013,24.133136916379385
2014,24.138023684690076
2015,24.14275199244419
2016,24.147326913376993
2017,24.151753347092164
2018,24.156036122764416
2019,24.1601799656554
2020,24.164189174205344
2021,24.168068235476778
2022,24.171821285677687
2023,24.175452503821923
2024,24.17896566760186
2025,24.182364720958255
2026,24.185653344651737
2027,24.18883513743896
2028,24.191913442766985
2029,24.194891811966567
2030,24.197773277860755
2031,24.20056120472104
2032,24.203258413881375
2033,24.205868011781867
2034,24.20839274571962
2035,24.210835469001864
2036,24.213198769186356
2037,24.215485225799345
2038,24.217697396499688
2039,24.219837622701927
2040,24.22190830079603
2041,24.22391170945603
2042,24.22584997314228
2043,24.22772525099667
2044,24.229539556409097
2045,24.231294876217508
2046,24.23299324024376
2047,24.234636356667803
2048,24.23622603168876
2049,24.237764149420165
2050,24.239252200082994
